"source","target"
1,7
1,9
1,13
1,16
1,21
1,24
1,27
2,3
2,7
2,10
2,13
2,19
2,21
2,24
2,27
2,33
3,16
3,21
3,24
3,27
4,10
4,16
4,21
4,27
4,30
5,21
5,27
6,13
6,22
6,27
7,13
7,27
8,7
8,9
8,18
8,19
8,21
8,24
8,27
8,28
9,1
9,7
9,13
9,16
9,17
9,18
9,21
9,23
9,24
9,27
11,5
11,9
11,21
11,24
12,6
12,7
12,11
12,14
12,21
12,27
13,6
13,7
13,22
13,27
15,4
15,6
15,10
15,19
15,21
15,23
15,24
15,25
15,27
15,30
16,1
16,7
16,9
16,17
16,19
16,21
16,24
16,27
16,29
16,31
17,4
17,16
17,19
17,31
18,5
18,27
19,6
19,7
19,9
19,12
19,14
19,16
19,17
19,21
19,24
19,27
19,29
19,30
19,33
20,4
20,7
21,5
21,11
21,19
21,24
21,26
21,27
21,30
22,6
22,27
23,9
23,15
23,19
23,30
24,7
24,9
24,16
24,19
24,21
24,27
25,4
25,10
25,15
25,23
25,30
26,27
27,9
27,13
28,17
28,24
28,27
28,32
29,7
29,9
29,27
30,4
30,6
30,7
30,9
30,10
30,15
30,19
30,24
31,1
31,4
31,16
31,17
31,27
31,28
31,29
31,30
32,27
33,9
33,11
33,16
33,17
33,21
33,24
33,27
